Ngày,Thời điểm cập nhật giá mới,Thời điểm cập nhật dữ liệu,Mã vàng,Loại vàng,Giá mua,Giá bán,Chêch lệch giá mua,Chênh lệch giá bán,Đơn vị,Số lần update
2026-01-25,00:00:00,2026-01-25 14:59:43.615,BT9999NTT,Bao Tin 9999,171300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,BTSJC,Bao Tin SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,DOJINHTV,DOJI Jewelry,170000000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,DOHNL,DOJI Hanoi,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,DOHCML,DOJI HCM,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,PQHN24NTT,PNJ 24K,170500000.0,173500000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,VNGSJC,VN Gold SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,PQHNVM,PNJ Hanoi,171500000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,SJ9999,SJC Ring,170500000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,SJL1L10,SJC 9999,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,VIETTINMSJC,Viettin SJC,170200000.0,172200000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 14:59:43.615,XAUUSD,World Gold (XAU/USD),4985.1,0,0.0,0,USD,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,BT9999NTT,Bao Tin 9999,171300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,BTSJC,Bao Tin SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,DOJINHTV,DOJI Jewelry,170000000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,DOHNL,DOJI Hanoi,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,DOHCML,DOJI HCM,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,PQHN24NTT,PNJ 24K,170500000.0,173500000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,VNGSJC,VN Gold SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,PQHNVM,PNJ Hanoi,171500000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,SJ9999,SJC Ring,170500000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,SJL1L10,SJC 9999,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,VIETTINMSJC,Viettin SJC,170200000.0,172200000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 15:59:35.082,XAUUSD,World Gold (XAU/USD),4985.1,0,0.0,0,USD,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,BT9999NTT,Bao Tin 9999,171300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,BTSJC,Bao Tin SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,DOJINHTV,DOJI Jewelry,170000000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,DOHNL,DOJI Hanoi,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,DOHCML,DOJI HCM,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,PQHN24NTT,PNJ 24K,170500000.0,173500000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,VNGSJC,VN Gold SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,PQHNVM,PNJ Hanoi,171500000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,SJ9999,SJC Ring,170500000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,SJL1L10,SJC 9999,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,VIETTINMSJC,Viettin SJC,170200000.0,172200000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 16:59:34.654,XAUUSD,World Gold (XAU/USD),4985.1,0,0.0,0,USD,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,BT9999NTT,Bao Tin 9999,171300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,BTSJC,Bao Tin SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,DOJINHTV,DOJI Jewelry,170000000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,DOHNL,DOJI Hanoi,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,DOHCML,DOJI HCM,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,PQHN24NTT,PNJ 24K,170500000.0,173500000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,VNGSJC,VN Gold SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,PQHNVM,PNJ Hanoi,171500000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,SJ9999,SJC Ring,170500000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,SJL1L10,SJC 9999,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,VIETTINMSJC,Viettin SJC,170200000.0,172200000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 17:59:35.209,XAUUSD,World Gold (XAU/USD),4985.1,0,0.0,0,USD,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,BT9999NTT,Bao Tin 9999,171300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,BTSJC,Bao Tin SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,DOJINHTV,DOJI Jewelry,170000000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,DOHNL,DOJI Hanoi,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,DOHCML,DOJI HCM,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,PQHN24NTT,PNJ 24K,170500000.0,173500000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,VNGSJC,VN Gold SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,PQHNVM,PNJ Hanoi,171500000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,SJ9999,SJC Ring,170500000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,SJL1L10,SJC 9999,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,VIETTINMSJC,Viettin SJC,170200000.0,172200000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 18:59:34.734,XAUUSD,World Gold (XAU/USD),4985.1,0,0.0,0,USD,1
2026-01-25,00:00:00,2026-01-25 19:59:37.393,BT9999NTT,Bao Tin 9999,171300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 19:59:37.393,BTSJC,Bao Tin SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 19:59:37.393,DOJINHTV,DOJI Jewelry,170000000.0,173000000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 19:59:37.393,DOHNL,DOJI Hanoi,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 19:59:37.393,DOHCML,DOJI HCM,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 19:59:37.393,PQHN24NTT,PNJ 24K,170500000.0,173500000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 19:59:37.393,VNGSJC,VN Gold SJC,172300000.0,174300000,0.0,0,VND,1
2026-01-25,00:00:00,2026-01-25 19:59:37.393,PQHNVM,PNJ Hanoi,171500000.0,174300000,0.0,0,VND,1
