Ngày,Thời điểm cập nhật giá mới,Thời điểm cập nhật dữ liệu,Mã vàng,Loại vàng,Giá mua,Giá bán,Chêch lệch giá mua,Chênh lệch giá bán,Đơn vị,Số lần update
2025-01-25,00:00:00,2026-03-05 10:22:53.197,SJCVIETNAM,SJC Việt Nam,86800000.0,88800000,0.0,0,VND,1
2025-02-01,00:00:00,2026-03-05 10:23:08.064,SJCVIETNAM,SJC Việt Nam,86800000.0,88800000,0.0,0,VND,1
2025-02-03,00:00:00,2026-03-05 10:23:12.309,SJCVIETNAM,SJC Việt Nam,86800000.0,88800000,0.0,0,VND,1
2025-02-04,00:00:00,2026-03-05 10:23:14.429,SJCVIETNAM,SJC Việt Nam,87800000.0,90300000,0.0,0,VND,1
2025-02-05,00:00:00,2026-03-05 10:23:16.571,SJCVIETNAM,SJC Việt Nam,88000000.0,91000000,0.0,0,VND,1
2025-02-06,00:00:00,2026-03-05 10:23:18.698,SJCVIETNAM,SJC Việt Nam,88200000.0,91200000,0.0,0,VND,1
2025-02-07,00:00:00,2026-03-05 10:23:20.825,SJCVIETNAM,SJC Việt Nam,86500000.0,90000000,0.0,0,VND,1
2025-02-10,00:00:00,2026-03-05 10:23:27.225,SJCVIETNAM,SJC Việt Nam,87300000.0,90300000,0.0,0,VND,1
2025-02-11,00:00:00,2026-03-05 10:23:29.351,SJCVIETNAM,SJC Việt Nam,89800000.0,92800000,0.0,0,VND,1
2025-02-12,00:00:00,2026-03-05 10:23:31.480,SJCVIETNAM,SJC Việt Nam,86700000.0,90200000,0.0,0,VND,1
2025-02-13,00:00:00,2026-03-05 10:23:33.697,SJCVIETNAM,SJC Việt Nam,87400000.0,90400000,0.0,0,VND,1
2025-02-14,00:00:00,2026-03-05 10:23:35.822,SJCVIETNAM,SJC Việt Nam,88300000.0,91300000,0.0,0,VND,1
2025-02-15,00:00:00,2026-03-05 10:23:37.945,SJCVIETNAM,SJC Việt Nam,87300000.0,90300000,0.0,0,VND,1
2025-02-17,00:00:00,2026-03-05 10:23:42.205,SJCVIETNAM,SJC Việt Nam,87300000.0,90300000,0.0,0,VND,1
2025-02-18,00:00:00,2026-03-05 10:23:44.346,SJCVIETNAM,SJC Việt Nam,88300000.0,90800000,0.0,0,VND,1
2025-02-19,00:00:00,2026-03-05 10:23:46.466,SJCVIETNAM,SJC Việt Nam,89400000.0,91700000,0.0,0,VND,1
2025-02-20,00:00:00,2026-03-05 10:23:48.609,SJCVIETNAM,SJC Việt Nam,89800000.0,92100000,0.0,0,VND,1
2025-02-21,00:00:00,2026-03-05 10:23:50.728,SJCVIETNAM,SJC Việt Nam,89700000.0,92000000,0.0,0,VND,1
2025-02-22,00:00:00,2026-03-05 10:23:52.856,SJCVIETNAM,SJC Việt Nam,89400000.0,91700000,0.0,0,VND,1
2025-02-24,00:00:00,2026-03-05 10:23:57.094,SJCVIETNAM,SJC Việt Nam,89200000.0,91500000,0.0,0,VND,1
2025-02-25,00:00:00,2026-03-05 10:23:59.218,SJCVIETNAM,SJC Việt Nam,90000000.0,92300000,0.0,0,VND,1
2025-02-26,00:00:00,2026-03-05 10:24:01.336,SJCVIETNAM,SJC Việt Nam,89400000.0,91700000,0.0,0,VND,1
2025-02-27,00:00:00,2026-03-05 10:24:03.530,SJCVIETNAM,SJC Việt Nam,89200000.0,91500000,0.0,0,VND,1
2025-02-28,00:00:00,2026-03-05 10:24:05.656,SJCVIETNAM,SJC Việt Nam,88900000.0,90900000,0.0,0,VND,1
2025-03-01,00:00:00,2026-03-05 10:24:07.775,SJCVIETNAM,SJC Việt Nam,88300000.0,90300000,0.0,0,VND,1
2025-03-03,00:00:00,2026-03-05 10:24:12.038,SJCVIETNAM,SJC Việt Nam,89000000.0,91000000,0.0,0,VND,1
2025-03-04,00:00:00,2026-03-05 10:24:14.164,SJCVIETNAM,SJC Việt Nam,89600000.0,91600000,0.0,0,VND,1
2025-03-06,00:00:00,2026-03-05 10:24:18.436,SJCVIETNAM,SJC Việt Nam,91000000.0,93000000,0.0,0,VND,1
2025-03-07,00:00:00,2026-03-05 10:24:20.562,SJCVIETNAM,SJC Việt Nam,90900000.0,92900000,0.0,0,VND,1
2025-03-08,00:00:00,2026-03-05 10:24:22.683,SJCVIETNAM,SJC Việt Nam,90900000.0,92900000,0.0,0,VND,1
2025-03-10,00:00:00,2026-03-05 10:24:26.925,SJCVIETNAM,SJC Việt Nam,91100000.0,93100000,0.0,0,VND,1
2025-03-11,00:00:00,2026-03-05 10:24:29.046,SJCVIETNAM,SJC Việt Nam,90600000.0,92600000,0.0,0,VND,1
2025-03-12,00:00:00,2026-03-05 10:24:31.173,SJCVIETNAM,SJC Việt Nam,91600000.0,93300000,0.0,0,VND,1
2025-03-13,00:00:00,2026-03-05 10:24:33.350,SJCVIETNAM,SJC Việt Nam,92500000.0,94200000,0.0,0,VND,1
2025-03-14,00:00:00,2026-03-05 10:24:35.470,SJCVIETNAM,SJC Việt Nam,94100000.0,95600000,0.0,0,VND,1
2025-03-17,00:00:00,2026-03-05 10:24:41.939,SJCVIETNAM,SJC Việt Nam,94800000.0,96100000,0.0,0,VND,1
2025-03-18,00:00:00,2026-03-05 10:24:44.064,SJCVIETNAM,SJC Việt Nam,95400000.0,96900000,0.0,0,VND,1
2025-03-19,00:00:00,2026-03-05 10:24:46.193,SJCVIETNAM,SJC Việt Nam,97100000.0,98600000,0.0,0,VND,1
